id,title,date,actors,audits,director,description,poster_url,average,genre,like_users,poster2_url
,빅샤크: 매직체인지,20180627,"['이제인', '장병관', '김사라']",전체관람가,헤 질리,"깊고 깊은 바닷속 신비의 해저 왕국. 평화롭던 바다왕국은 하루아침에 뒤죽박죽 마법에 걸려 위험에 빠지는데...  꼬마로 변한 아빠 빅샤크와 아기상어 메이는 수달 보보, 문어 핑키, 소라게 하부 등 바닷속 친구들과 함께,
 마법의 주문을 풀고 바다왕국을 원래대로 되돌려 놓기 위해 바다 끝, 머나먼 미지의 세계로 짜릿하고 신비한 모험을 시작한다.",https://image.tmdb.org/t/p/w500/rDP57NcO9WlrSbEcXcbWxNc6wnu.jpg,0,애니메이션,,https://image.tmdb.org/t/p/w500/jJL4AMhbmodNBq9a24CuJwNBR6V.jpg
,미드나잇 선,20180621,"['벨라 손', '패트릭 슈왈제네거', '롭 리글']",12세이상관람가,스콧 스피어,"XP(색소성건피증)라는 희귀병으로 태양을 피해야만 하는 케이티. 오직 밤에만 외출이 허락된 그녀에게는 어머니가 남겨준 기타와 창문 너머로 10년째 짝사랑해온 ‘찰리’가 세상의 빛이다. 어느 날 작은 기차역에서 한밤의 버스킹을 하던 ‘케이티’의 앞에 ‘찰리’가 나타나고, 두 사람은 매일 밤마다 모두가 부러워하는 완벽한 데이트를 이어간다.  처음으로 함께 여행을 떠난 날, 꿈 같은 시간을 보내던 ‘케이티’는 그만 지켜야만 하는 규칙을 어기게 되고 결국 피할 수 없는 선택을 해야만 하는데… 너에게 하고 싶은 진짜 사랑 고백, 태양이 뜬 뒤에도 내 곁에 있어줄래?",https://image.tmdb.org/t/p/w500/ctKbrFSRtm2mM5Hf25rkRD1UZjS.jpg,0,멜로/로맨스,,https://image.tmdb.org/t/p/w500/9T8sj5io4SGCBTHsk5H8LGcfKVe.jpg
,독전,20180522,"['조진웅', '류준열', '김주혁']",15세이상관람가,이해영,"아시아 최대 마약 조직 산하에 있는 마약 제조 공장에서 의문의 폭발 사고가 발생한다. 목숨을 잃을 뻔했던 조직의 후견인 연옥(김성령)은 배신감을 느끼고, 조직의 수장 이 선생을 오랫동안 쫓아왔던 형사 원호(조진웅)를 직접 찾아가 중요한 정보를 흘린다. 유일한 생존자였던 락(류준열)은 조직으로부터 버림받은 후 원호의 수사에 적극적으로 협조하기로 한다. 두 사람은 이 선생과 거래를 할 예정이었던 진하림(김주혁)과 헌신적인 조직원 선창(박해준) 사이를 오가며 이 선생의 실체에 조금씩 다가간다. 그리고 원호와 락 앞에 거물급 조직 인사 브라이언(차승원)이 모습을 드러낸다.",https://image.tmdb.org/t/p/w500/dOVLy8K0hBFsxW2whcuTDPWrdlZ.jpg,0,범죄,,https://image.tmdb.org/t/p/w500/fGELBQlFYl6agW3m6TOue0Ir4NQ.jpg
,명탐정 코난: 순흑의 악몽,20160803,[],12세이상관람가,시즈노 코분,"경찰에 잠입한 누군가에 의해 유출된 N.O.C리스트.  그리고 전 세계 스파이들이 연이어 제거되는 사건이 발생한다.  한편, 코난과 친구들은 새로 개장한 수족관에서 우연히 의문의 여인과 마주친다.  두 눈의 색이 다른 ‘오드아이’인 그녀는 상처투성이인 온 몸에, 자신의 이름도 기억하지 못하는 상태.  그녀가 잃어버린 기억을 되찾을 수 있게 도와 주던 코난은 심상치 않은 기운을 느끼고,  FBI, 경찰, CIA가 모두 그녀를 쫓고 있음을 알게 된다.  여기에 베일에 싸여 있는 검은 조직마저도 정체를 드러내고 그 여인을 쫓는데…  잃어버린 기억 속 숨겨진 비밀을 찾아, 그들이 움직인다!",https://image.tmdb.org/t/p/w500/slx6P9DzmQ6i7rNvr40MQgKbyP9.jpg,0,애니메이션,,https://image.tmdb.org/t/p/w500/1UJGs4tqlmNkJy5CcW1VKwj8l8k.jpg
,어벤져스: 인피니티 워,20180425,"['로버트 다우니 주니어', '조슈 브롤린', '마크 러팔로']",12세이상관람가,안소니 루소,"타노스(조시 브롤린)는 6개의 인피니티 스톤을 획득해 신으로 군림하려 한다. 그것은 곧 인류의 절반을 학살해 우주의 균형을 맞추겠다는 뜻. 타노스는 닥터 스트레인지(베네딕트 컴버배치)가 소유한 타임 스톤, 비전(폴 베타니)의 이마에 박혀 있는 마인드 스톤을 차지하기 위해 지구를 침략한다. 아이언맨(로버트 다우니 주니어)과 스파이더맨(톰 홀랜드)은 가디언즈 오브 갤럭시의 멤버들과 타노스를 상대한다. 지구에선 캡틴 아메리카(크리스 에반스), 완다(엘리자베스 올슨), 블랙 위도우(스칼렛 요한슨), 블랙 팬서(채드윅 보스먼) 등이 비전을 지키기 위해 뭉친다.",https://image.tmdb.org/t/p/w500/kmP6viwzcEkZeoi1LaVcQemcvZh.jpg,0,액션,,https://image.tmdb.org/t/p/w500/bOGkgRGdhrBYJSLpXaxhXVstddV.jpg
,챔피언,20180501,"['마동석', '권율', '한예리']",12세이상관람가,김용완,"미국 로스엔젤레스, 한 때 팔씨름 세계 챔피언을 꿈꿨지만 지금은 클럽에서 일하는 ‘마크’(마동석)는 자칭 최고의 스포츠 에이전트 ‘진기’(권율)의 설득에 한국으로 돌아온다. 멈췄던 팔뚝이 다시 뛰기 시작한 ‘마크’.  '진기'에게서 귀국 선물(?)로 받은 오래 전 헤어진 엄마 주소를 찾아가지만  그곳엔 엄마 대신 본 적 없는 여동생 ‘수진’(한예리)과  두 아이 ‘쭌쭌남매’가 떡하니 살고 있는데…",https://image.tmdb.org/t/p/w500/lDhTfKfhLyfoYpdoN0WvMthgeus.jpg,0,드라마,,https://image.tmdb.org/t/p/w500/zZD3xGjeaa7oIcrJMFicIeot4Ur.jpg
,"그날, 바다",20180412,"['정우성', '이주용', '장동원']",15세이상관람가,김지영,"2014년 4월 16일, 세월호가 침몰했다. 8시 30분경과 8시 50분경으로 사고 발생 시간에 대한 진술은 엇갈리고,  세월호의 항로를 기록한 데이터는 각기 다르게 기록되거나 사라졌다.  과학적인 분석과 자료 수집, 4년간의 치밀한 조사로 오직 팩트로만 아직 아무것도 밝혀지지 않은 그날을 추적한다.  잊을 수 없는 '그날', 모든 걸 알고 있는 '바다'  증거에 증거로 답해야 할 것이다!",https://image.tmdb.org/t/p/w500/csKNq4nLiSnI8lKFpxLjdybU1Yn.jpg,0,다큐멘터리,,https://image.tmdb.org/t/p/w500/kRRsb6uINFarpJnRHatZsCihoHA.jpg
,레오나르도 다 빈치,20180426,"['김명준', '사문영', '이경태']",전체관람가,세르지오 맨피오,"상상력, 발명, 그림, 모험심 어느 하나 빠질 것 없는 천재 소년 ‘레오나르도 다 빈치’! 세상에 없는 기발한 발명품을 만들어 친구들에게 자랑하는 것이 즐거움인 레오는 어느 날, 보물을 가득 담은 해적선이 바다에 침몰했다는 소식을 듣는다~  우리가 가만 있을 순 없지! 레오와 친구들은 보물을 찾기 위해 무시무시한 해적들이 기다리고 있는 몬테크리스토섬으로 떠난다!  꿈꾸면 이루어진다! 바다 속에 풍덩~ 빠져버린 보물을 찾기 위한 천재 발명왕 레오나르도와 친구들의 짜릿한 모험이 시작된다!",https://image.tmdb.org/t/p/w500/u2mYrzvRVEIPDzxPnJGPN5BukeQ.jpg,0,애니메이션,,https://image.tmdb.org/t/p/w500/6FBrQu7lVMB0lvq31PE5Rc57Rqs.jpg
,아기곰 보보 구출 대작전,20180425,[],전체관람가,라스무스 A. 실버르센,"작은 생쥐 앤디, 레미, 다람쥐 아저씨, 빵집 토끼 아저씨 등은 모두 신비한 숲 허키버키에 사는 작은 동물 친구들. 하지만 작은 동물 친구들은 큰 동물 여우 마빈을 무서워해 숲 속 동물들 모두 친구가 되는 방법을 생각해 낸다. 더 살기 좋아진 숲 속. 어느 날, 숲에서 가장 귀여운 아기곰 보보가 사라지는 사건이 발생하고 작은 동물 친구들과 큰 동물 친구들은 모두 힘을 합쳐 구출 대작전에 나서는데…",https://image.tmdb.org/t/p/w500/eftzXlFNcF2CG2sSR811taIFJ6k.jpg,0,애니메이션,,https://image.tmdb.org/t/p/w500/5AYBuRz5K1exO6TWE6eQehstEIO.jpg
,당갈,20180425,"['아미르 칸', '파티마 사나 셰이크', '산야 말호트라']",12세이상관람가,니테쉬 티와리,"전직 레슬링 선수였던 ‘마하비르 싱 포갓(아미르 칸)’은 아버지의 반대로 금메달의 꿈을 이루지 못한 채 레슬링을 포기한다. 아들을 통해 꿈을 이루겠다는 생각은 내리 딸만 넷이 태어나면서 좌절된다. 그러던 어느 날, 두 딸이 또래 남자아이들을 신나게 때린 모습에서 잠재력을 발견하고 레슬링 특훈에 돌입한다. 사람들의 따가운 시선과 조롱에도 불구하고 첫째 기타(파티마 사나이 샤크)와 둘째 바비타(삼아 말호 트라)는 아버지의 훈련 속에 재능을 발휘, 승승장구 승리를 거두며 국가대표 레슬러로까지 성장해 마침내 국제대회에 출전한다.하지만 세계의 벽은 높기만 하고 끝없이 이어지는 슬럼프로 연이은 패배만 이어지는데…
 인도를 넘어 전 세계적으로 흥행 기록을 이어가고 있는 당갈은 레슬링을 가리키는 힌디어다. 딸을 레슬링 선수로 키워낸 한 남자의 실화를 바탕으로 아미르 칸이 제작에 참여했으며, 엄격하지만 부성이 넘치는 아빠로 출연해 흥행 신화를 기록한 올해 최고의 화제작.",https://image.tmdb.org/t/p/w500/dbNNILqPSMWwM0cVYnX97RYVd7h.jpg,0,액션,,https://image.tmdb.org/t/p/w500/mFCEeEjRfU2WU9vv5ApXJLzKxy7.jpg
